"factset_entity_id","equity_aum"
"06XDDY-E ",1
"0056DD-E ",470
"05MY6R-E ",275
"05TM8R-E ",435
"075HYC-E ",3592
"072CX3-E ",182
"0CX4NV-E ",190
"0C7NNF-E ",74
"0G4YRB-E ",102
"002SGY-E ",153
"002TBM-E ",59
"002SQ3-E ",404
"00D17R-E ",539
"00D2CR-E ",162
"00FF6N-E ",256
"00FCC8-E ",155
"06YS79-E ",58
"0JTFP7-E ",10
"0090RC-E ",373
"080X2R-E ",385
"0DB8LY-E ",1
"0D9V3L-E ",10
"0BZMDF-E ",77
"0J1VCQ-E ",185
"05K8XH-E ",2258
"075DPK-E ",2
"06L0DF-E ",1337
"0DQ0B4-E ",201
"00CXRC-E ",13
"0DQ0H7-E ",238
"002TKK-E ",280
"0BQCLM-E ",1394
"0DJ44S-E ",304
"07B96N-E ",18
"00CXX2-E ",0
"05VXGJ-E ",73
"05K92L-E ",1
"05K7S6-E ",236
"003SY0-E ",6
"0C83RC-E ",125
"05W91W-E ",4
"05W7GM-E ",46
"074XSJ-E ",379
"05VWF0-E ",0
"06HFQB-E ",329
"06N1BH-E ",5
"0F931N-E ",0
"0BTRKS-E ",94
"06SDPK-E ",51
"06WRQY-E ",120345
"0035LK-E ",25
"0024XL-E ",226
"0034J4-E ",362
"0024VP-E ",521
"0HNKFV-E ",5209
"0C8KJ4-E ",170
"0C5TDL-E ",108
"0C5WHL-E ",14
"0CXR2F-E ",105
"0CVN39-E ",16
"0CZMQM-E ",3997
"0C8C2L-E ",57
"06LZ0P-E ",38
"0CW7RH-E ",113
"0CK7WP-E ",4477
"06G7QL-E ",0
"0C22RL-E ",0
"0C8C2Y-E ",181
"0FH5R3-E ",186
"0CNDXD-E ",3
"0C8JY5-E ",215
"0CH436-E ",17988
"002KM8-E ",47121
"000TNX-E ",719968
"000Y72-E ",245
"05N6PZ-E ",8
"05LZJ9-E ",459
"05M0Y8-E ",54
"05SVMZ-E ",0
"0719SD-E ",3
"0739W6-E ",507
"0CKG2F-E ",315
"0CXKJP-E ",187
"0GX29B-E ",130
"0G5FWP-E ",730
"00D15C-E ",659
"0CVK09-E ",129
"0CKJFD-E ",1899
"05GSGX-E ",5066
"05MRMD-E ",18
"0JH35F-E ",23
"0GS2YL-E ",87
"07BK77-E ",12
"07BHCB-E ",0
"002XSZ-E ",9691
"001Y7Z-E ",2710
"0011Y4-E ",610
"001X1H-E ",1892
"0JT2WC-E ",42
"005C23-E ",400
"05MYJG-E ",16482
"004W62-E ",1
"0FYR9H-E ",90
"074CQ1-E ",388
"072CMJ-E ",432
