factset_entity_id,Name,Position,Style,Turnover,EquityAssets,QualityRating,Style Desktop,Turnover Desktop,AUM Desktop,Equity AUM Desktop,Quality Rating Desktop,Targeting_Score Desktop,Position Desktop,STYLE MATCH,TURNOVER MATCH,POSITION MATCH,QR MATCH
00820D-E,Geller Advisors LLC,0,GARP,Low,269.932088,63,GARP,Low,3145,246,63,42,0,TRUE,TRUE,TRUE,TRUE
0084HS-E,ProShare Advisors LLC,503535,Index,Very Low,16928.97989,79,Index,Very Low,29450,16902,79,,503535,TRUE,TRUE,TRUE,TRUE
0085KN-E,Levin Capital Strategies LP,7703,Value,Very Low,2270.25142,73,Value,Very Low,1265,842,73,77,7703,TRUE,TRUE,TRUE,TRUE
0088TN-E,"Willis Investment Counsel, Inc.",96600,Yield,Very Low,1502.924748,75,Yield,Very Low,2154,1441,75,79,96600,TRUE,TRUE,TRUE,TRUE
0088VB-E,Indiana Trust & Investment Management Co.,3169,GARP,Very Low,198.26013,57,GARP,Very Low,,108,57,74,3169,TRUE,TRUE,TRUE,TRUE
008C5Q-E,"Transamerica Financial Advisors, Inc.",0,GARP,Very Low,207.963992,52,GARP,Very Low,969,18,52,36,0,TRUE,TRUE,TRUE,TRUE
008JVS-E,myCIO Wealth Partners LLC,265944,GARP,Very Low,1219.156183,67,GARP,Very Low,7377,1126,67,90,265944,TRUE,TRUE,TRUE,TRUE
008K0W-E,United Capital Financial Advisers LLC,19600,GARP,Low,14432.65025,74,GARP,Low,22056,12881,74,78,19600,TRUE,TRUE,TRUE,TRUE
008K3J-E,Alaska Retirement Management Board,34155,Yield,Very Low,5788.58947,69,Yield,Very Low,,5628,69,84,34155,TRUE,TRUE,TRUE,TRUE
008LV9-E,Wealthcare Capital Management LLC,0,Yield,Very Low,702.146821,65,Yield,Very Low,1339,698,65,61,0,TRUE,TRUE,TRUE,TRUE
008LX4-E,Menta Capital LLC,0,Hedge Fund,High,449.175485,15,Hedge Fund,High,2055,229,15,7,0,TRUE,TRUE,TRUE,TRUE
008ND1-E,Ballentine Partners LLC,2617,Growth,Very Low,1958.046147,70,Growth,Very Low,30100,1798,70,71,2617,TRUE,TRUE,TRUE,TRUE
008QZL-E,Livingston Group Asset Management Co.,0,GARP,Very Low,243.284266,52,GARP,Very Low,431,223,52,55,0,TRUE,TRUE,TRUE,TRUE
008Z3V-E,Marble Harbor Investment Counsel LLC,37029,Yield,Very Low,565.537858,64,Yield,Very Low,705,1,64,69,37029,TRUE,TRUE,TRUE,TRUE
008ZRF-E,West Oak Capital LLC,12749,GARP,Very Low,162.850237,52,GARP,Very Low,300,162,52,57,12749,TRUE,TRUE,TRUE,TRUE
00903J-E,BLB&B Advisors LLC,4795,Yield,Very Low,857.723138,66,Yield,Very Low,1217,844,66,64,4795,TRUE,TRUE,TRUE,TRUE
00907S-E,Reilly Financial Advisors LLC,42271,GARP,Low,796.665522,59,GARP,Low,1334,767,59,49,42271,TRUE,TRUE,TRUE,TRUE
00909K-E,HBK Sorce Advisory LLC,1185,GARP,Low,1010.124938,62,GARP,Low,3448,942,62,64,1185,TRUE,TRUE,TRUE,TRUE
0090BC-E,Azimuth Capital Management LLC,14648,GARP,Low,1579.765289,65,GARP,Low,2162,1457,65,75,14648,TRUE,TRUE,TRUE,TRUE
0090BN-E,"Horrell Capital Management, Inc.",0,GARP,Very Low,210.73018,54,GARP,Very Low,267,192,54,44,0,TRUE,TRUE,TRUE,TRUE
0090LS-E,Richard C. Young & Co. Ltd.,35315,Yield,Medium,587.076538,57,Yield,Medium,1005,505,57,70,35315,TRUE,TRUE,TRUE,TRUE
0090MY-E,AlphaSimplex Group LLC,9031,Hedge Fund,Medium,338.366289,26,Hedge Fund,Medium,6107,318,26,,9031,TRUE,TRUE,TRUE,TRUE
0090NW-E,Rex Capital Advisors LLC,0,GARP,Very Low,121.529272,64,GARP,Very Low,812,120,64,38,0,TRUE,TRUE,TRUE,TRUE
0090PP-E,Newbrook Capital Advisors LP,0,Hedge Fund,High,1716.328907,41,Hedge Fund,High,2262,1230,41,50,0,TRUE,TRUE,TRUE,TRUE
0090PS-E,"Patriot Wealth Management, Inc.",42658,GARP,Low,765.235857,68,GARP,Low,1864,0,68,74,42658,TRUE,TRUE,TRUE,TRUE
0090Q2-E,Argyll Research  LLC,0,Yield,Medium,409.481785,67,Yield,Medium,,409,67,13,0,TRUE,TRUE,TRUE,TRUE
0090Q4-E,Barton Investment Management LLC,0,Growth,Very Low,612.278119,73,Growth,Very Low,,669,73,79,0,TRUE,TRUE,TRUE,TRUE
0090RH-E,Weiss Multi-Strategy Advisers LLC,0,Hedge Fund,High,4217.739063,33,Hedge Fund,High,5785,2995,33,29,0,TRUE,TRUE,TRUE,TRUE
0090TB-E,AMG National Trust Bank,0,GARP,Very Low,1641.538019,70,GARP,Very Low,4200,1518,70,91,0,TRUE,TRUE,TRUE,TRUE
0090YC-E,Nicholas Investment Partners LP,0,Growth,High,1411.743219,50,Growth,High,1928,1011,50,55,0,TRUE,TRUE,TRUE,TRUE
0091ZV-E,"Pineno Levin & Ford Asset Management, Inc.",0,GARP,Very Low,243.625733,60,GARP,Very Low,343,4,60,82,0,TRUE,TRUE,TRUE,TRUE
00925W-E,Ionic Capital Management LLC,0,Hedge Fund,Medium,295.854157,29,Hedge Fund,Medium,4964,131,29,19,0,TRUE,TRUE,TRUE,TRUE
0092S3-E,"L&S Advisors, Inc.",6647,GARP,Low,718.700323,60,GARP,Low,805,545,60,REQUEST FAILED,6647,TRUE,TRUE,TRUE,TRUE
00994K-E,AmericaFirst Capital Management LLC,0,GARP,High,340.409569,29,GARP,High,70,50,29,26,0,TRUE,TRUE,TRUE,TRUE
009964-E,Telemus Capital LLC,2676,GARP,Low,1360.967951,62,GARP,Low,2590,1251,62,85,2676,TRUE,TRUE,TRUE,TRUE
009C0K-E,"WBI Investments, Inc.",0,Yield,High,2374.100169,53,Yield,High,1677,62,53,62,0,TRUE,TRUE,TRUE,TRUE
009HHN-E,Jaffe Tilchin Investment Partners LLC,4335,Growth,Medium,550.88905,49,Growth,Medium,698,376,49,53,4335,TRUE,TRUE,TRUE,TRUE
009JC8-E,"GHP Investment Advisors, Inc.",16440,GARP,Very Low,789.855683,66,GARP,Very Low,1277,746,66,77,16440,TRUE,TRUE,TRUE,TRUE
009JNC-E,"AdvisorNet Financial, Inc.",1414,Growth,Very Low,825.537609,53,Growth,Very Low,1342,853,53,,1414,TRUE,TRUE,TRUE,TRUE
009JPF-E,Zevin Asset Management LLC,0,GARP,Very Low,326.712034,61,GARP,Very Low,451,266,61,77,0,TRUE,TRUE,TRUE,TRUE
009JPW-E,AlphaMark Advisors LLC,28,GARP,Medium,264.080394,41,GARP,Medium,313,232,41,41,28,TRUE,TRUE,TRUE,TRUE
009K4M-E,Security Investors LLC,19365,Index,Low,5838.912893,64,Index,Low,38025,5545,64,,19365,TRUE,TRUE,TRUE,TRUE
009K4X-E,"Thompson, Siegel & Walmsley LLC",201,Value,Low,7171.711955,72,Value,Low,19884,12740,72,69,201,TRUE,TRUE,TRUE,TRUE
009MMX-E,Aviance Capital Management LLC,0,Yield,Medium,671.557144,53,Yield,Medium,794,630,53,46,0,TRUE,TRUE,TRUE,TRUE
009ND6-E,KBC Asset Management NV,48282,GARP,Medium,6253.066547,62,GARP,Medium,,19847,62,68,48282,TRUE,TRUE,TRUE,TRUE
009S80-E,"First Republic Investment Management, Inc.",52966,GARP,Very Low,19489.30776,81,GARP,Very Low,78291,18898,81,79,52966,TRUE,TRUE,TRUE,TRUE
