FactSetEntityId,Style,TurnoverLabel,TotalAUM
001Z79-E,Value,Very Low,108
001Z7D-E,,,1598
001Z7X-E,,,59
001Z8N-E,,,NULL
001Z8Q-E,,,405
001ZDN-E,,,NULL
001ZF3-E,Growth,Very Low,163328
001ZFZ-E,,,NULL
001ZHV-E,Value,Very Low,NULL
001ZK0-E,,,1381
001ZK6-E,,Medium,66797
001ZNB-E,,,NULL
001ZNW-E,Aggressive Growth,Low,985
001ZNY-E,,,39
001ZP6-E,Yield,,NULL
001ZQ5-E,Deep Value,Very Low,252
001ZQN-E,,,NULL
001ZRD-E,,,NULL
001ZTT-E,Value,Very Low,2428
001ZV4-E,GARP,,NULL
001ZVG-E,,,NULL
001ZWF-E,,,NULL
001ZWH-E,,,NULL
001ZY1-E,Growth,Low,NULL
001ZYS-E,,,NULL
001ZYX-E,,,NULL
00200W-E,,,NULL
002013-E,,,NULL
002014-E,,,NULL
00203S-E,,,95
00205N-E,,,245
002074-E,,,NULL
00207Y-E,,,NULL
002082-E,Yield,Medium,433
00208T-E,,,NULL
00208Z-E,Growth,Very Low,NULL
00209B-E,Value,Low,1569
0020DX-E,,,NULL
0020F9-E,,,NULL
0020GL-E,Growth,Very Low,NULL
0020GT-E,,,NULL
0020J6-E,,,NULL
0020QN-E,Aggressive Growth,High,1480
0020SY-E,,,NULL
0020T2-E,,,NULL
0020T3-E,,,NULL
0020T6-E,Value,Low,544
0020WJ-E,Yield,Low,4817
0020Z0-E,Aggressive Growth,Very Low,NULL
0020ZM-E,,,NULL
0020ZT-E,,,NULL
002108-E,,,NULL
00213N-E,,,NULL
002154-E,,,3356
002187-E,GARP,Very Low,22619
0021F4-E,,,NULL
0021HG-E,Value,Medium,8292
0021HZ-E,Growth,Very Low,NULL
0021KL-E,,,311
0021QB-E,Growth,,NULL
0021VQ-E,,,NULL
0021VT-E,,,NULL
0021ZD-E,,,NULL
002249-E,,,NULL
002255-E,,,NULL
0022CW-E,Value,Low,15439
0022GP-E,,,NULL
0022H4-E,Growth,Medium,32100
0022HH-E,,,232
0022J9-E,Growth,Very Low,147
0022K8-E,,,NULL
0022L1-E,,,NULL
0022S3-E,,,NULL
0022TV-E,,,NULL
0022YS-E,,,NULL
0022Z8-E,,,NULL
00233N-E,,,NULL
002340-E,GARP,Medium,3321
002384-E,Aggressive Growth,Medium,827
0023D5-E,Deep Value,High,1265
0023GR-E,Growth,Low,1418
0023W3-E,,,NULL
0023WY-E,,,NULL
0023ZP-E,,,NULL
00245B-E,GARP,Medium,744
0024FZ-E,,,NULL
0024G2-E,,,NULL
0024GN-E,Value,Low,295
0024J8-E,,,3765
0024MZ-E,Aggressive Growth,Low,45758
0024N0-E,Growth,,1944042
0024Q4-E,Growth,Low,21353
0024Q5-E,Growth,Very Low,10281
0024Q6-E,,,5000
0024QD-E,,,NULL
0024SV-E,Growth,Very Low,NULL
0024VM-E,GARP,Very High,NULL
0024VP-E,Value,Low,36550
0024X9-E,,,NULL
0024XL-E,GARP,Low,301
00250F-E,Growth,Very Low,31400
00253Y-E,,,NULL
002544-E,,,NULL
0025GD-E,,,NULL
0025H0-E,,,1965
0025H4-E,Aggressive Growth,Very Low,10378
0025MS-E,,,NULL
0025QG-E,Growth,Very Low,NULL
0025Y6-E,,,NULL
002656-E,Value,High,15990
00266Z-E,,,NULL
00269B-E,,,NULL
0026C7-E,,,NULL
