factset_entity_id,name,ManagerStyle,InstitutionFixedStyle
0DLC3Z-E,Pate Capital Management LLC,NULL,
0DLD97-E,Pathfinder Partners LLC,NULL,
0DLF05-E,"Minsheng Tonghui Asset Management Co., Ltd.",NULL,
0FLYGZ-E,BRaVe Media Ventures LLC,NULL,
0FM1XY-E,Motorists Insurance Group (Investment Portfolio),NULL,
0FM4Z4-E,Soochow Venture Capital Co. Ltd.,NULL,
0FM5WP-E,Equitable Life & Casualty Insurance Co. (Investment Portfolio),NULL,
0FM7L2-E,Green Investment Group Management Ltd.,NULL,
0FM880-E,Dryden Mutual Insurance Co. (Investment Portfolio),NULL,
0FMB7Z-E,William Pen Association (Investment Portfolio),NULL,
0FMH78-E,"Health Net of Arizona, Inc. (Investment Portfolio)",NULL,
0FMLP8-E,Delta Dental of Nebraska (Investment Portfolio),NULL,
0FMLRV-E,Nextequity Management LLC,NULL,
0FMRM3-E,"Brain & Capital Partners, Inc.",NULL,
0FMTXY-E,Prado SV LLC,NULL,
0FN3GQ-E,China Universal Asset Management (Hong Kong) Co. Ltd.,NULL,
0GH0DZ-E,SMBC Friend Research Center Ltd.,NULL,
0GHD05-E,GALA LAB Srl,NULL,
0GHYVL-E,HC2 Capital LLC,NULL,
0HJHS6-E,Bascom Milestone Ventures LLC,NULL,
0HJNFB-E,Pennine Ventures Ltd.,NULL,
0HJPXZ-E,Stellex Capital Management UK LLP,NULL,
0HJQ28-E,Enlightened Brand Ventures LLC,NULL,
0KGKNB-E,Mendoza Ventures LLC,NULL,
0KGLLB-E,Wuxi Luyin Investment Co. Ltd.,NULL,
05JVGZ-E,"L.E. Simmons & Associates, Inc.",NULL,Deep Value
05JYP1-E,Mondiale Asset Management Ltd.,NULL,
05JZ8Y-E,Mariner Wealth Advisors-Cincinnati LLC,NULL,GARP
05K2RP-E,"Epic Capital Management, Inc.",NULL,GARP
05K3CY-E,Istituto Atesino di Sviluppo SpA,NULL,
05K6C9-E,Bennett Management Corp.,NULL,GARP
05K6PB-E,"Advanced Capital Advisers, Inc.",NULL,
05K8JF-E,ShareVest Capital Management,NULL,
05K91T-E,Pareto Asset Management AS,NULL,GARP
05KBY9-E,Isinger Asset Management,NULL,
05KBYL-E,"Steben & Co., Inc.",NULL,
05KFZP-E,Glasgow Investment Managers Ltd.,NULL,
05KGQ2-E,"Hansen Gray & Co., Inc. (Georgia)",NULL,
05KHN7-E,AllianceBernstein Australia Ltd.,NULL,GARP
05KK7Y-E,Alternative Investment Partners LLC,NULL,
05KN5W-E,Wesleyan Assurance Society,NULL,GARP
05KNGR-E,Arisaig Partners (Asia) Pte Ltd.,NULL,Growth
05KQMN-E,Arca Merchant SpA,NULL,
05KSQF-E,Caravelle SA,NULL,
05KVJ6-E,Connell LP,NULL,
05KWVV-E,Runkel Advisors LLC,NULL,
05L08X-E,Hampshire Equity Partners,NULL,
05L1DW-E,Wedeco (Management),NULL,
05L50C-E,New Mountain Capital LLC,NULL,
05L6HT-E,vSpring Capital LLC,NULL,
06WHX5-E,Peninsular Capital Partners LLP,NULL,
06WKLR-E,Next Wave Partners LLP,NULL,
06WPB1-E,"GEN3 Ventures, Inc.",NULL,
06WSJQ-E,Indofin International Holding BV,NULL,
06WZQY-E,ETV Capital Ltd.,NULL,
06X5JZ-E,Business Valuation Resources LLC,NULL,
06XB31-E,"The Scowcroft Group, Inc.",NULL,
06XJ93-E,Regent Street Capital LLC,NULL,
06XJLC-E,Baltik AG fur Kapitalbeteiligungen,NULL,
06XL2J-E,Rustic Canyon/Fontis Management LLC,NULL,
06XT9Q-E,Equip Ventures LLC,NULL,
06XTDR-E,Compagnie Nationale a Portefeuille /Private Equity/,NULL,
06XYCZ-E,Toyama Capital Management,NULL,
06XYKJ-E,ATS Beteiligungsverwaltung GmbH,NULL,
085KKM-E,NAEEM Shares & Bonds,NULL,
0B0RYB-E,A/VENTUM family office Consulting AG,NULL,GARP
0B0T1X-E,WOOD & Co. Financial Services as (United Kingdom),NULL,
0B0ZDQ-E,Sorrell Capital LLP,NULL,
0B15J4-E,AJ Bell Investments LLP,NULL,GARP
0B1L1N-E,Rural American Fund,NULL,
0B1R4M-E,Mercatto Capital Partners Ltda,NULL,
0B1W1C-E,ICT Fund NV,NULL,
0CGRVT-E,"GoodWin Asset Management, Inc.",NULL,
0CGWZF-E,Canyon River Capital Partners LLC,NULL,
0CHY4W-E,Emperor Asset Management,NULL,
0CHYPX-E,EQUI.TS GmbH,NULL,
0CJ0S4-E,Draper Asset Management LLC,NULL,
0DQ5V9-E,Brand Foundry Ventures LLC,NULL,
0DQ62J-E,Lazard Gulf Ltd.,NULL,GARP
0DQQRJ-E,Deutsche Craigs Ltd.,NULL,
0DQR1G-E,Woodward Partners Securities Ltd.,NULL,
0DQRF4-E,Karlani Capital LLC,NULL,
0DQRHP-E,Hydrazine Capital,NULL,
0DQVX5-E,Counterpoint Boutique (Pty) Ltd.,NULL,Yield
0DR509-E,March Venture Capital Management Services LLC,NULL,
0DR61D-E,Canoe Financial (Private Equity),NULL,
0DR6ZQ-E,Compass Invest JSC,NULL,
0FQYBQ-E,Innova Capital Gestora de Recursos Ltda.,NULL,
0GKDF7-E,Beijing Fengxue Investment Management Co. Ltd.,NULL,
0GKFXN-E,Promsvyazbank PJSC /Broker/,NULL,
0GKGMY-E,Iratel Ventures,NULL,
0GKGWH-E,Shanghai Hanwuji Venture Capital Investment Mgmt Co. Ltd.,NULL,
0GKN2F-E,"The Refiners, Inc.",NULL,
0GKQH5-E,UtrechtInc BV,NULL,
0GKTMR-E,VakstPartner Kapital ApS,NULL,
0GL727-E,"Onwave Ventures, Inc.",NULL,
0GL8VN-E,RNT Capital Advisers LLP,NULL,
0HLG2Y-E,NewMark Invest AS,NULL,
0HLG6V-E,"Equium Capital Management, Inc.",NULL,
0HLGMQ-E,Polkuni HK Ltd.,NULL,
0JKDML-E,Hangzhou Shangzhinuo Asset Management Co. Ltd.,NULL,
003PXW-E,Diaz-Verson Capital Investments LLC,NULL,
003QW3-E,Belle Haven Investments LP,NULL,GARP
003R0N-E,"Monitor Capital, Inc.",NULL,
