Factset Entity ID,Fund Name,Discrepancy Column
04BGLT-E,Voya Index Plus Large Cap Portfolio,
04GG6Y-E,London Life Canadian Opportunity Fund (mackenzie),
04J6ZF-E,Swisscanto (ch) Ipf I - Index Equity Usa,
04FTY0-E,Global Infrastructure Fund,
04BFB6-E,Blackrock S&p 500 Index V.i. Fund,
04CH9G-E,Smtam Foreign Equity Index Mother Fund,
04BV6J-E,Spp Generation 60 Tal,
04GTXT-E,Fidelity Invt. Funds - Index Us Fund,
04JJ2J-E,John Hancock Multifactor Large Cap Etf,
04GQKJ-E,John Hancock Ii - Strategic Equity Allocation Fund,
04BGWQ-E,Morgan Stanley Variable Invt. Ser.-global Infrastructure Port.,
04K5MT-E,Guardian Large Cap Disciplined Value Vip Fund,
04KJ6R-E,Blackrock Acs I - 50:50 Global Equity Tracker Fund,
04JFT5-E,United Global Durable Equities Fund,
04C07J-E,Td Emerald Us Market Index Fund,
04G7D6-E,Jpmorgan Global Allocation Fund,
04BZ35-E,Guidestone Equity Index Fund,
04GZDD-E,Proshares Dj Brookfield Global Infrastructure Etf,
04CVZ9-E,Ishares Plc - Msci North America Ucits Etf,
04K7R3-E,Ishares Iv Plc - Edge Msci Usa Value Factor Ucits Etf,
04CQYB-E,Am One Foreign Equity Passive Fund Mother Fund,
