Factset Fund ID,Fund Name,Discrepancy Column
04G7D6-E,Jpmorgan Global Allocation Fund,
04DC17-E,Royal London Equity Funds Icvc - Us Tracker Fund,
04K3Q2-E,Ishares Iv Plc - Digitalisation Ucits Etf,
04B8G1-E,Invesco Global Small & Mid Cap Growth Fund,
04K2Z4-E,Guardian Large Cap Disciplined Growth Vip Fund,
04BT26-E,Harbor Mid Cap Growth Fund,
04JF51-E,Vanguard Russell 1000 Growth Index Trust,
04DVXD-E,Janus Henderson Us Managed Volatility Fund,
04GT09-E,Mainstay Mackay Growth Fund,
04C2BH-E,Vanguard Investment Series Plc - Global Stock Index Fund,
04KZT2-E,Jss Investmentfonds - Sustainable Tech Disruptors,
04BGPC-E,Valic Company I - Science & Technology Fund,
04HYHK-E,Xtrackers (ie) Plc - Msci Usa Ucits Etf,
04D34K-E,Ishares Tr. - Msci Acwi Etf,
04BQ3G-E,State Farm Equity Fund,
04BFB0-E,Lincoln Vip - T Rowe Price Structured Mid Cap Growth Fund,
04BGJ3-E,Mainstay Vp - Mackay Growth Portfolio,
04DKPR-E,Blackrock Cif - North American Equity Tracker Fund,
04CRF9-E,Valic Company I - Mid Cap Strategic Growth Fund,
04BH2L-E,Putnam Sustainable Future Fund,
04HL75-E,Ubs Life - Global Equity All Country Fund,
04C46N-E,Eaton Vance Stock Portfolio,
04FBDX-E,Ubs Global Asset (japan) Ubs Next Generation Technology Fund,
04GV7F-E,Sei Institutional Invt. Trust - Extended Market Index Fund,
04CSLG-E,Mercer Funds - Us Small/mid Cap Equity Fund,
04L108-E,New Capital Ucits Fund Plc - Us Future Leaders Fund,
04JJ2X-E,Goldman Sachs Etf Tr. - Activebeta Us Large Cap Equity Etf,
04BTY1-E,Northwestern Mutual-large Cap Core Stock Portfolio,
04H0HK-E,Hsbc Opportunity Portfolio,
04CX8Z-E,Invesco Ftse Rafi Us 1500 Small Mid Etf,
04BQ04-E,Goldman Sachs Us Tax Managed Equity Fund,
04D614-E,Dfa Ta Us Core Equity 2 Portfolio,
04BVYD-E,Ishares Tr. - Expanded Tech Sector Etf,
04BQJ7-E,Prudential Series - Sp Prudential Us Emerging Growth Portfolio,
04D0H4-E,Russell Global Equity Fund,
04BNQR-E,Goldman Sachs Vit - Mid Cap Value Fund,
04KJW8-E,Fidelity Blue Chip Growth K6 Fund,
04D996-E,Multi Manager Access - Us Equities,
04BPB1-E,Fidelity Vip Iii - Balanced Portfolio,
04J7DK-E,Blackrock Acs I - Us Equity Tracker Fund,
04BGZ1-E,T Rowe Price Extended Equity Market Index Fund,
04HJCY-E,Vanguard Total Stock Market Index Trust,
04CDJX-E,Royal London Us Growth Trust,
04BFXX-E,Russell Tax Managed Us Mid & Small Cap Fund,
04KLNM-E,Blackrock Acs I - World (ex-uk) Equity Tracker Fund,
04HL62-E,Ubs Life - Usa Equity Tracker Fund,
04BTYM-E,Pacific Select Fund - Technology Portfolio,
04BL00-E,Legal & General Us Index Trust,
04DQY1-E,Voya Russell Mid Cap Index Portfolio,
04BXTS-E,Pinebridge Global Funds - Dynamic Asset Allocation Fund,
04B9GM-E,Eaton Vance Balanced Fund,
04DS38-E,Vanguard Invt. Fds. Icvc - Ftse Dev. World (ex-uk) Eq. Index,
04BF4J-E,Vanguard Tax Managed Balanced Fund,
04BSSY-E,Calvert Balanced Fund,
04C2BX-E,Buffalo Mid Cap Fund,
04CP76-E,Wellington Mgmt. Fds. (lu) - Global Research Eq. Fd.,
04KY25-E,Ia Clarington Thematic Selection Fund,
04B9HB-E,Fidelity Advisor Series I - Balanced Fund,
04GJYR-E,Mitsubishi Ufj Kokusai Asset American New Stage Mother Fund,
04DG0K-E,United Financial-us Equity Growth Corporate Class,
04JW6L-E,Fidelity Large Cap Growth Index Fund,
04BHW3-E,George Putnam Balanced Fund,
04F39G-E,Columbia Seligman Premium Technology Growth Fund,
04B8W3-E,Calvert Mid Cap Fund,
04BNM5-E,Nordinternet,
04KV0H-E,Handelsbanken Global Smí«bolag Index Criteria,
04CTSL-E,Valic Company I - Small Mid Growth Fund,
04DC9Y-E,Penn Series - Smid Cap Growth Fund,
04CBJW-E,Interfund Sicav - Equity Usa,
04BC0M-E,Bmo Mid Cap Growth Fund,
04F1NR-E,Putnam Equity Spectrum Fund,
04J0VN-E,Nt Ucits Common Contractual Fd. - World Cus. Esg Eq. Ind. Fd.,
