FactSet Entity ID,Institution_name,Discrepancy_Column
05HNL1-E,State Street Global Advisors France SA,Incorrect: eaum 
05FBK7-E,Morgan Stanley & Co. LLC,
07BYPL-E,Pendal Group Ltd. (Investment Management),
0FDPYC-E,Knights of Columbus Asset Advisors LLC,Incorrect: style 
05K1YC-E,Eurizon Capital SA,Incorrect: eaum 
009ND6-E,KBC Asset Management NV,
002H7B-E,Natixis Advisors LP,
05FWLZ-E,Aberdeen Asset Investments Ltd.,Incorrect: turnover 
0DDBDX-E,Metropolitan Life Insurance Co. (Investment Portfolio),
0DVFVB-E,AlphaCrest Capital Management LLC,
05FL7Y-E,Wolverine Trading LLC,
0JK8HH-E,Danske Bank A/S (Investment Management Sweden),Incorrect: eaum 
0CH436-E,"Sumitomo Mitsui Trust Asset Management Co., Ltd.",Incorrect: eaum 
05X6XR-E,Veritable LP,
05J6JN-E,"The Dai-ichi Life Insurance Co., Ltd. (Investment Portfolio)",
0GKB9B-E,Achmea Investment Management BV,Incorrect: style 
009K4M-E,Security Investors LLC,
0631M3-E,IFM Investors Pty Ltd.,
05FWFP-E,J.O. Hambro Capital Management Ltd.,
07L0CH-E,Zeke Capital Advisors LLC,
078XH2-E,Verition Fund Management LLC,
06C5QC-E,BlueMountain Capital Management LLC,
05G53H-E,Candriam Belgium SA,
0080QY-E,GSA Capital Partners LLP,
0DLDNG-E,Dynamic Technology Lab Pte Ltd.,
0CQXQ4-E,Twin Tree Management LP,
002HMF-E,Paloma Partners Management Co.,
05G1G3-E,Metzler Asset Management GmbH,Incorrect: eaum 
09V9V1-E,Amundi Hong Kong Ltd.,
0DVH09-E,First Hawaiian Bank (Wealth Management),Incorrect: eaum 
002P34-E,The Caisse de dÌ©pÌ«t et placement du QuÌ©bec,
004G3H-E,Peak6 Capital Management LLC,Incorrect: eaum 
0BJ0LD-E,"RBC Global Asset Management, Inc.",
001ZF3-E,Aberdeen Asset Managers Ltd.,
0HTK3N-E,Rebecca Morrow,NO DATA
00CJ9V-E,Mirae Asset Global Investments (USA) LLC,Incorrect: aum eaum 
0D9L9X-E,"Raymond James & Associates, Inc. (Invt Mgmt)",
0B2BH9-E,Heemann VermÌ¦gensverwaltung GmbH,Incorrect: eaum 
06GL6L-E,Gotham Asset Management LLC,
001YWB-E,Virginia Retirement Systems,
09NF3J-E,BG Fund Management Luxembourg SA,Incorrect: eaum 
0DVFWG-E,Trexquant Investment LP,Incorrect: aum 
002G53-E,Tocqueville Asset Management LP,
09N7PK-E,Allianz Global Investors U.S. LLC,
002J3B-E,OakBrook Investments LLC,Incorrect: aum 
0084HS-E,ProShare Advisors LLC,
0074DB-E,Jump Trading LLC,
0019KF-E,"CIBC Asset Management, Inc.",
0080MP-E,"Lockwood Advisors, Inc.",
07NMMQ-E,Neuberger Berman Investment Advisers LLC,
001XT4-E,"DWS Investment Management Americas, Inc.",
0J8GKZ-E,Seeyond SA,Incorrect: turnover 
0KKTM4-E,Quantamental Technologies LLC,
061DXL-E,"State Street Global Advisors, Australia, Ltd.",Incorrect: eaum 
0057C1-E,Mark S. Garrett,NO DATA
05G79W-E,Nordea Investment Management AB (Denmark),
06GBQC-E,Winton Capital Management Ltd.,
07GBC6-E,"Mercer Global Advisors, Inc.",Incorrect: style 
002HGT-E,"SunTrust Banks, Inc. (Wealth Management)",
006WTM-E,QMA LLC,
0G1KQH-E,Degroof Petercam Asset Management SA,Incorrect: eaum 
05K7GZ-E,Wellington Management International Ltd.,Incorrect: eaum 
001T5F-E,State Teachers Retirement System of Ohio,
009S80-E,"First Republic Investment Management, Inc.",
05ZYBJ-E,Barclays Capital Securities Ltd.,
002HNF-E,"Citigroup Global Markets, Inc. (Broker)",
0FK0F1-E,Ryan Roslansky,NO DATA
0044YT-E,Caroline F. Donahue,NO DATA
05HDJR-E,Security Kapitalanlage AG,Incorrect: eaum 
07SJYN-E,Group One Trading LP,
07F3P1-E,"Taishin Securities Investment Trust Co., Ltd.",Incorrect: eaum 
0B42YP-E,Arne M. Josefsberg,NO DATA
00DQWY-E,"Itau USA Asset Management, Inc.",Incorrect: eaum 
07HQ1Z-E,HighTower Advisors LLC,
064B7H-E,"Woodbury Financial Services, Inc.",
05V81Q-E,State Street Global Advisors (Japan) Co. Ltd.,Incorrect: eaum 
