,MI name,MI Pos,MI Market Val,DT Name,DT Pos,DT Market Val,Pos Diff (Percentage),Market Val Diff (Percent),MI Not Matched,DT Not Matched
3609,RWC Partners Ltd.,2346.0,0.32496792,Investment Partners Ltd.,31491,4218534.0,-172.27,-171.39,,
3610,Wiley Bros.-Aintree Capital LLC,2327.0,0.32233604,Wiley Bros.-Aintree Capital LLC,2327,311725.0,0,3.35,,
3611,Fifth Third Securities Inc.,2323.0,0.32178196,"Fifth Third Securities, Inc. (Investment Management)",2323,311189.0,0,3.35,,
3612,Teza Capital Management LLC,2322.0,0.32164344,Teza Capital Management LLC,2322,311055.0,0,3.35,,
3613,First State Invt Mgmt (UK) Ltd.,2316.0,0.32081232,First State Investment Management (UK) Ltd.,2316,286443.0,0,11.32,,
3614,Shapiro Capital Management LLC,2310.0,0.31998119999999997,Shapiro Capital Management LLC,2310,309448.0,0,3.35,,
3615,Smith & Howard Wealth Management LLC,2308.0,0.31970416,Smith & Howard Wealth Management LLC,2308,309180.0,0,3.35,,
3616,Optimize Investment Partners Sgfim SA,2300.0,0.318596,Optimize Investment Partners SGFIM SA,2300,308108.0,0,3.35,,
3617,Shakespeare Wealth Management Inc.,2295.0,0.3179034,"Shakespeare Wealth Management, Inc.",2295,307438.0,0,3.35,,
3618,Pinnacle Family Advisors LLC,2260.0,0.31305520000000003,Pinnacle Family Advisors LLC,2260,302750.0,0,3.35,,
3619,DFP Deutsche Finanz Portfolioverwaltung GmbH,2254.0,0.31222408,Deutsche Asset Management SA,3220,431351.0,-35.29,-32.04,,
3620,Peak Financial Management Inc.,2246.0,0.31111592,"Peak Financial Management, Inc.",2246,300874.0,0,3.35,,
3621,"Tressis Gestion SGIIC, S.A.",2245.0,0.3109774,Tressis Gestión SGIIC SA,1668,223445.0,29.49,32.76,,
3622,Element Investment Managers (Pty) Ltd.,2238.0,0.31000776,Element Investment Managers (Pty) Ltd.,2238,227314.0,0,30.78,,
3623,America First Investment Advisors LLC,2232.0,0.30917664,America First Investment Advisors LLC,2232,298999.0,0,3.35,,
3624,NFB Asset Management (Pty) Ltd,2220.0,0.3075144,NFB Asset Management (Pty) Ltd.,2220,225485.0,0,30.78,,
3625,Stevens First Principles Investment Advisors,2213.0,0.30654476,Stevens First Principles Investment Advisors,2213,296453.0,0,3.35,,
3626,Family Capital Trust Co.,2200.0,0.304744,Family Capital Trust Co. (Investment Management),2200,294712.0,0,3.35,,
