factset_entity_id,Name,Position,Style,Turnover,EquityAssets,QualityRating
002HHQ-E,"RBC Global Asset Management (US), Inc.",50000,GARP,Very Low,5089.937626,74
002HJ2-E,Amalgamated Bank (Investment Management),27815,GARP,Very Low,4184.218884,68
002HJB-E,BlackRock Advisors LLC,1468873,Growth,Low,83944.67622,84
002HJF-E,Boston Advisors LLC,1332,Growth,Medium,2125.739355,56
002HJG-E,"Bridges Investment Counsel, Inc.",0,GARP,Medium,0,0
002HKG-E,First Quadrant LP,5500,Quant,Low,1827.136243,44
002HKS-E,Guardian Investor Services LLC,0,GARP,Medium,0,0
002HKT-E,"Guyasuta Investment Advisors, Inc.",3140,Yield,Very Low,911.299369,66
002HL1-E,"Invesco Advisers, Inc.",784564,Growth,Very Low,121505.4429,93
002HLG-E,"Lowe, Brockenbrough & Co., Inc.",6005,GARP,Very Low,747.181124,65
002HLM-E,Mark Asset Management Corp.,0,Hedge Fund,Medium,376.539346,35
002HLZ-E,NISA Investment Advisors LLC,81790,GARP,Very Low,10477.91916,74
002HMD-E,"Cypress Capital Group, Inc.",13366,GARP,Very Low,498.524957,60
002HMY-E,"QCI Asset Management, Inc.",0,GARP,Very Low,1019.428133,64
002HNJ-E,ARS Investment Partners LLC,0,GARP,Low,585.588801,62
002HNL-E,Investment Management of Virginia LLC,0,GARP,Very Low,434.86933,62
002HP4-E,Symphony Asset Management LLC,0,GARP,High,526.48958,40
002HP5-E,Teachers Advisors LLC,526842,GARP,Very Low,82963.16931,90
002HPC-E,TIAA-CREF Investment Management LLC,743732,Growth,Low,143784.4492,89
002HPX-E,"Wright Investors' Service, Inc.",0,GARP,Low,269.08637,53
002HQ5-E,"Allianz of America, Inc.",0,GARP,Medium,0,0
002HQM-E,The Ayco Co. LP,0,GARP,Low,7957.352442,77
002HR6-E,"Bryn Mawr Capital Management, Inc.",0,Hedge Fund,Medium,0,0
002HR9-E,Capital International SARL,4400,GARP,Low,832.344912,57
002HRC-E,"Crossmark Global Investments, Inc.",20959,GARP,Very Low,3665.118709,68
002HRF-E,Caxton Associates LP,0,Hedge Fund,Very High,1187.998897,19
002HRL-E,"Cigna Investments, Inc.",6363,GARP,Low,1350.971411,59
002HRN-E,"Citizens Bank, NA (Investment Management)",3202,GARP,Low,1360.635109,59
002HRQ-E,"Coldstream Capital Management, Inc.",2255,Yield,Very Low,1215.731721,67
002HRR-E,Columbia Partners LLC Investment Management,10083,Growth,Medium,331.924129,46
002HS2-E,"D. L. Carlson Investment Group, Inc.",0,GARP,Low,375.317582,57
002HSF-E,FCM Investments LP,0,Growth,Medium,0,0
002HSL-E,"Ferguson Wellman Capital Management, Inc.",2180,GARP,Low,2975.866525,68
002HSV-E,"Foster Dykema Cabot & Co., Inc.",2400,GARP,Very Low,623.732089,67
002HSX-E,Gamble Jones Investment Counsel,0,Yield,Very Low,1137.857722,70
002HTF-E,Central Trust Co. (Missouri),7335,GARP,Very Low,1665.059739,64
