FactSet Entity ID,Institution_name,AI_Targeting vs. Profile Page
000ZBK-E,"Tweedy, Browne Co. LLC",
003G7H-E,"US Bancorp Asset Management, Inc.",
07FKDK-E,VGI Partners Pty Ltd. (Investment Management),
05H63X-E,"Van Berkom & Associates, Inc.",
00C8HT-E,Vulcan Value Partners LLC,
0HHTF9-E,Wealthfront Strategies LLC,
0FJXBY-E,William Blair Investment Management LLC,
0FSDDK-E,ACR Alpine Capital Research LLC,
06JVMR-E,"ALPS Advisors, Inc.",
081XP2-E,Aberdeen Standard Investments (Japan) Ltd.,
0C2NT4-E,Allianz Investment Management LLC,
0JDPYZ-E,Altaba Inc (Investment Company),
05PG7S-E,Aperio Group LLC,
05G2Z0-E,BBVA Asset Management SA SGIIC,
05FYY3-E,BNP Paribas Investment Partners SGR SpA,
0D4XBB-E,CPH Capital Fondsmaeglerselskab A/S,
005CJ2-E,Chickasaw Capital Management LLC,
05G643-E,Credit Suisse AG,
05G9B7-E,Danske Capital AS,
000HJ9-E,Dimensional Fund Advisors LP,
001YF6-E,"Donald Smith & Co., Inc.",
0BR0JV-E,Fairpointe Capital LLC,
05KBWD-E,Fideuram Asset Management (Ireland) DAC,
009S80-E,"First Republic Investment Management, Inc.",
05XF2G-E,Flossbach von Storch AG,
00577F-E,Gabelli Funds LLC,
00DD7S-E,Gallagher Fiduciary Advisors LLC,
002GTP-E,Gateway Investment Advisers LLC,
05G784-E,HSBC Global Asset Management (UK) Ltd.,
05VGC6-E,Handelsbanken Fonder AB,
001MCT-E,Iridian Asset Management LLC,
05FW7Z-E,JPMorgan Asset Management (UK) Ltd.,
001RLW-E,"John W. Bristol & Co., Inc. (New York)",
0607RV-E,KLS Professional Advisors Group LLC,
09KH7Z-E,L&T Investment Management Ltd.,
0C98F5-E,MFS Institutional Advisors Inc. (Australia),
002YWR-E,MFS Investment Management Canada Ltd.,
05J0NR-E,MIV Asset Management AG,
05JXQP-E,Maple-Brown Abbott Ltd.,
00716H-E,Morningstar Investment Services LLC,
05G6NV-E,Nordea Investment Management AB,
0DLWQM-E,Old Republic International Corp. (Investment Management),
05PDRZ-E,Operadora Inbursa de Fondos de Inversión SA de CV,
0CXXXG-E,Personal Capital Advisors Corp.,
05JM1R-E,"Quadravest Capital Management, Inc.",
0H87MQ-E,Rothschild Asset Management SCS,
002JLB-E,Royal London Asset Management Ltd.,
05J6KB-E,"SPARX Asset Management Co., Ltd.",
009Z7J-E,"Scheer, Rowlett & Associates Investment Management Ltd.",
05WPSP-E,Schroder Investment Management (Japan) Ltd.,
078CJJ-E,Shareholder Value Management AG,
002M1L-E,Silchester International Investors LLP,
0CW4TM-E,Silvercrest Asset Management Group LLC,
05T0CT-E,State Street Global Advisors Asia Ltd.,
001T5F-E,State Teachers Retirement System of Ohio,
00BZKF-E,TD Ameritrade Investment Management LLC,
00250F-E,Templeton Investment Counsel LLC,
0DV7BY-E,The Magnolia Group LLC,
05GSG8-E,Threadneedle Asset Management Ltd.,
002HHL-E,"Timucuan Asset Management, Inc.",
00BQ8J-E,Triple Frond Partners LLC,
0H1SJS-E,VP Fund Solutions (Liechtenstein) AG (Investment Management),
002H53-E,Voya Investment Management Co. LLC,
0010RD-E,Westfield Capital Management Co. LP,
05GZ5L-E,AMF Pensionsförsäkring AB,
06MV32-E,Allianz Global Investors GmbH,Discrepancy: turnover 
05MZ1Y-E,"American Capital Management, Inc.",
0DFPJT-E,Andbank Wealth Management SGIIC SAU,
05HLL2-E,BLI - Banque de Luxembourg Investments SA,
0B5W6Z-E,Bellatrix Asset Management SA,
002JMH-E,"Boston Trust Investment Management, Inc.",
05KSHP-E,Callan LLC,
0B4DPV-E,Carnegie Fonder AB,
