FactSet Fund ID,Fund_name,AI_Targeting vs. Profile Page
04F35Y-E,Fidelity Strategic Advisers Core Fund,
04DK36-E,American Funds International Growth & Income Fund,
04BRQT-E,Diamond Hill Long-short Fund,
04B9LC-E,Fidelity Value Fund,
04BJK8-E,Jnl/wmc Balanced Fund,
04CRD5-E,Sei Institutional Invt. Trust - World Equity (ex-us) Fund,
04BQCP-E,Columbia Select Large Cap Value Fund,
04J6T9-E,Klp Aksjeglobal Lavbeta I,
04FHT7-E,Standard Life Investments Global Absolute Return Strategies,
04HMG0-E,Transamerica Mid Cap Value Opportunities,
04BDXC-E,American Century Ultra Fund,
04BC46-E,Mfs Blended Research Core Equity Fund,
04CJ51-E,Optimum Large Cap Value Fund,
04BXKF-E,Templeton Growth Fund Ltd.,
04BDFB-E,Clearbridge Appreciation Fund,
04BFP9-E,Eq/large Cap Value Managed Volatility Portfolio,
04HJ0S-E,Mfs Global Equity Trust,
04BV80-E,Fidelity Vip - Growth Portfolio,
04C7R1-E,American Funds Insurance Series - Blue Chip Inc. & Growth Fd.,
04B9P0-E,Fidelity Inv. Trust - International Discovery Fund,
04BLCG-E,Ftif Sicav - Us Opportunities Fund,
04CHZW-E,Allianz Strategiefonds Wachstum Plus,
04BHZ4-E,Brown Advisory Growth Equity Fund,
04CGRF-E,Fidelity Blue Chip Value Fund,
04BV83-E,Fidelity Vip - Mid Cap Portfolio,
04BGXB-E,Invesco V.i. Diversified Dividend Fund,
04D76J-E,Johcm Umbrella Fund Plc - Global Select Fund,
04BH1P-E,Columbia Large Cap Growth Fund,
04BFN4-E,Cref Stock Account,
04GG9R-E,Pgim Jennison Global Opportunities Fund,
04D6NT-E,Advisors Inner Circle Ii - Champlain Mid Cap Fund,
04CMKG-E,Blackrock Enhanced Capital & Income Fund,
04BVLS-E,Thrivent Variable Product - Mid Cap Stock Portfolio,
04BNV0-E,Artisan Small Cap Fund,
04BDVJ-E,Simt Tax Managed Large Cap Fund,
04B8N2-E,American Century Heritage Fund,
04CV41-E,Ast Advanced Strategies Portfolio,
04BJWK-E,Lincoln Vip - T Rowe Price Growth Stock Fund,
04H010-E,Jnl/t Rowe Price Capital Appreciation Fund,
04F97P-E,Jpmorgan Access Growth Fund,
04JCMG-E,Hanlon Tactical Dividend & Momentum Fund,
04BBT5-E,Blackrock Equity Dividend Fund,
04BHN1-E,T Rowe Price Equity Income Fund,
04DJL0-E,Strategic Advisers Value Fund,
04CX5H-E,Maj Invest Value Aktier,
04CTMZ-E,Nordea 1 - Stable Return Fund,
04BCX9-E,T Rowe Price Growth Stock Fund,
04GD9W-E,American Beacon Bridgeway Large Cap Value Fund,
04BJ2X-E,Schwab Markettrack Balanced Portfolio,
04B9LD-E,First Eagle Fund Of America,
04BX2T-E,Mfs Mid Cap Value Fund,
04C2J2-E,Td North American Dividend Fund,
04BFDY-E,American Funds Insurance Series - Global Growth Fund,
04BJFP-E,Sound Shore Fund,
04F9M1-E,Poplar Forest Partners Fund,
04B916-E,Calvert Equity Fund,
04D3Z7-E,Swisscanto (ch) Ipf Ii Equity Fund World (ex-ch Nt Chf),
04CNQH-E,Sterling Capital Equity Income Fund,
04C2MJ-E,Vanguard Capital Value Fund,
04GD3C-E,Horizon Active Asset Allocation Fund,
04GC3S-E,Ab Sicav I - Select Us Equity Portfolio,
04DCB0-E,Artisan Global Opportunities Fund,
04CYDF-E,Epoch Global Shareholder Yield Fund,
04BBKW-E,Federated Kaufmann Fund,
04CGQ0-E,Invesco V.i. Equity & Income Fund,
04DYBD-E,Lo Funds - Generation Global,
04BYZ0-E,Franklin Rising Dividends Vip Fund,
04C7NQ-E,Jennison Growth Portfolio,
04D5FH-E,Parvest - Global Environment,
04CNTJ-E,Dnb Global (iv),
04BV8T-E,Swedbank Robur Aktiefond Pension,
04BP0K-E,Dws Akkumula,
04GTVH-E,Ab Sicav I - Low Volatility Equity Portfolio,
04CDNC-E,Blackrock Global Funds - Us Flexible Equity Fund,
04BBHF-E,Janus Henderson Enterprise Fund,
04BJ2Z-E,Schwab Core Equity Fund,
04BFB5-E,Blackrock Global Allocation V.i. Fund,
04CGDL-E,Jpmorgan Intrepid America Fund,
04BYD5-E,Scotia Canadian Balanced Fund,
04BV9N-E,Swedbank Robur Allemansfond Komplett,
04GMKC-E,Aam/bahl & Gaynor Income Growth Fund,
04BH9M-E,Columbia Select Large Cap Equity Fund,
04B9RV-E,Fidelity Magellan Fund,
04FTVT-E,Putnam Multi Cap Core Fund,
04BHNG-E,Vanguard Variable Insurance - Diversified Value Portfolio,
04BGYV-E,Putnam Sustainable Leaders Fund,
04DCWK-E,Columbia Disciplined Value Fund,
04GMYG-E,Nordea Invest Portefolje Aktier,
04BJ71-E,Carillon Eagle Small Cap Growth Fund,
04HZHM-E,Eurizon Fund - Flexible Beta Total Return,
04B8Z5-E,Blackrock Mid Cap Growth Equity Portfolio,
04C8VB-E,Pioneer Fundamental Growth Fund,
04BV9X-E,Vontobel Fund - Us Equity,
04B9LB-E,Fidelity Stock Selector All Cap Fund,
04CL54-E,Ivy Funds - Value Fund,
04BLFY-E,Jpmorgan Funds - America Equity Fund,
04BY8B-E,Threadneedle Invt. Funds Icvc - American Fund,
04BC9X-E,Nicholas Fund,
04BDHD-E,Selected American Shares Fund,
04B9J7-E,Fam Value Fund,
04BB4K-E,Goldman Sachs Equity Income Fund,
04BYQ3-E,Td Us Blue Chip Equity Fund,
04HZZH-E,Ab Sicav I - Concentrated Us Equity Portfolio,
04C39C-E,Gs Funds - Us Core Equity Portfolio,
04BFR1-E,Ast Mfs Growth Portfolio,
04BNX5-E,Janus Aspen Ser. - Vit Balanced Portfolio,
04CNTL-E,Schroder Isf - Us Small & Mid Cap Equity,
04BGYX-E,T Rowe Price New America Growth Fund,
04BF83-E,Ivy Funds - Core Equity Fund,
04CTKR-E,Lord Abbett Value Opportunities Fund,
04BPK5-E,Franklin Mutual Shares Vip Fund,
04BBCY-E,Hartford Dividend & Growth Hls Fund,
04BXYG-E,Mackenzie Cundill Value Fund,
04BR22-E,Murray International Trust Plc,
04B9S9-E,Fidelity New Millennium Fund,
04CCRN-E,Fidelity Value Discovery Fund,
04GSM1-E,Lyrical Us Value Equity Fund,
04BV7X-E,Fidelity Vip - Contrafund Portfolio,
04BB8G-E,Homestead Value Fund,
04BDZN-E,Usaa Growth & Income Fund,
04HDS1-E,Fidelity Global Dividend Investment Trust,
04F57N-E,Touchstone Mid Cap Value Fund,
04BPTV-E,Fidelity Inv. Trust - Emerging Markets Fund,
04BF3Q-E,Vanguard Morgan Growth Fund,
04CGT3-E,Columbia Disciplined Core Fund,
04BFGW-E,Mfs Mid Cap Growth Fund,
04JQR1-E,Robeco Umbrella Fund I Nv - Qi Glb. Multi-factor Equities,
04CMDK-E,Cohen & Steers Infrastructure Fund,
04BJ3X-E,Pgim Jennison Mid Cap Growth Fund,
04BJ6X-E,Carillon Eagle Mid Cap Growth Fund,
04BHXX-E,Thrivent Mid Cap Stock Fund,
04BQHM-E,Prudential Series - Equity Portfolio,
04CV43-E,Diamond Hill Small Mid Cap Fund,
04CYYM-E,Jnl/blackrock Global Natural Resources Fund,
04F59N-E,Mawer Global Equity Fund,
04BQHN-E,Prudential Series - Flexible Managed Portfolio,
04CWFW-E,Fidelity Invt. Funds - Global Special Situations Fund,
04G67X-E,Great-west Putnam Equity Income Fund,
04BQ1P-E,Prudential Series - Jennison Portfolio,
04CCKT-E,Allianzgi Nfj Large Cap Value Fund,
04CQXD-E,Touchstone Sands Capital Institutional Growth Fund,
04BGV1-E,Cref Social Choice Account,
04CZ9K-E,Blackrock Global Funds - Global Enhanced Equity Yield Fund,
04BZ37-E,Guidestone Growth Equity Fund,
04B8VY-E,Columbia Balanced Fund,
04BYCN-E,Amundi Funds Ii - Global Ecology,
04CTNC-E,Crm Small/mid Cap Value Fund,
04BV8F-E,Swedbank Robur Globalfond,
04DJKZ-E,Fidelity Inv. Trust - Emerging Markets Opportunities Fund,
04J54Y-E,Nordea Global Dividend Fund,
04J9Y3-E,First Eagle Amundi - Income Builder Fund,
04BC2T-E,Mfs Total Return Fund,
04B9L1-E,Fidelity Growth Company Fund,
04CXJ5-E,Neuberger Berman Multi Cap Opportunities Fund,
04CRQ6-E,Brighthouse Funds Trust I - Invesco Comstock Portfolio,
04B8D3-E,Invesco Equity & Income Fund,
04C78G-E,Mfs Variable Insurance Trust - Value Series,
04CQ4G-E,Gs Funds - Global Core Equity Portfolio,
04FXH0-E,Ctivp-mfs Value Fund,
04BK55-E,State Farm Balanced Fund,
04BNZ0-E,American Funds New World Fund,
04BC2D-E,Invesco American Value Fund,
04D28Z-E,Asperior Investment Funds - Lf Ruffer Absolute Return Fund,
04CJF3-E,Schwab Dividend Equity Fund,
04BBPR-E,Federated Equity Income Fund,
04B8DY-E,Ivy Funds - Balanced Fund,
04BVT0-E,Bruce Fund,
04BDBM-E,Sunamerica Series Trust - Sa Dogs Of Wall Street Portfolio,
04GSZZ-E,Fidelity Series Opportunistic Insights Fund,
04BCKR-E,Jpmorgan Mid Cap Growth Fund,
04BHYH-E,Touchstone Sands Capital Select Growth Fund,
04B9HQ-E,Fidelity Advisor Series I -growth Opportunities Fund,
04CMX1-E,Robeco Capital Gr. Fds. - Global Consumer Trends Equities,
04CMDJ-E,T Rowe Price Institutional Large Cap Core Growth Fund,
04BJG3-E,1290 Vt Equity Income Portfolio,
04BHLF-E,Mfs Global Equity Fund,
04BL31-E,Foreign & Colonial Investment Trust Plc,
04BHBN-E,Loomis Sayles Global Allocation Fund,
04GCMC-E,Alliance Trust Plc,
04GX4V-E,First Trust Mlp & Energy Income Fund,
04GRS3-E,Congress Mid Cap Growth Fund,
04GLCG-E,Columbia Variable Portfolio-contrarian Core Fund,
04BZMQ-E,Multipartner Sicav - Sam Sustainable Water Fund,
04B9Q0-E,Fidelity Inv. Trust - International Capital Appreciation Fund,
04BCCM-E,Nuveen Large Cap Value Fund,
04CQXG-E,Touchstone Mid Cap Fund,
04B8J0-E,Ab Sustainable Global Thematic Fund,
04G39W-E,Amundi Funds - Equity Us Relative Value,
04BB48-E,Goldman Sachs Income Builder Fund,
04HGCC-E,Hermes Invt. Funds - Us Smid Equity Fund,
04CTQH-E,John Hancock Ii - Capital Appreciation Fund,
04DJRK-E,Metropolitan Series - Van Eck Global Natural Resources Port.,
04BJ63-E,Vanguard Wellesley Income Fund,
04DG54-E,Jpmorgan Fund Icvc - Us Equity Income Fund,
04B8YG-E,Amg Managers Fairpointe Mid Cap Fund,
04FG8F-E,Dws Invest - Top Dividend,
04BVBW-E,Artisan Mid Cap Value Fund,
04BP77-E,T Rowe Price Institutional Large Cap Value Fund,
04GGNG-E,Td Global Low Volatility Fund,
04D2JX-E,Mff Capital Investments Ltd.,
04BTMT-E,Amana Income Fund,
04GM3H-E,American Beacon London Company Income Equity Fund,
04BKD6-E,Dws Croci Equity Dividend Fund,
04BT3C-E,Advisors Inner Circle - Lsv Value Equity Fund,
04B8JD-E,American Funds Amcap Fund,
04B92J-E,Bny Mellon Dynamic Value Fund,
04BB6N-E,Harbor Large Cap Value Fund,
04BPDK-E,Hartford Balanced Hls Fund,
04B9WX-E,Fidelity Select Energy Portfolio,
04BGGG-E,Jnl/t Rowe Price Established Growth Series,
04B9V9-E,Franklin Mutual Us Value Fund,
04CX11-E,Fidelity Energy Central Fund,
04BFK4-E,Gabelli Utilities Fund (the),
04CXJ4-E,Neuberger Berman Equity Income Fund,
04D7T1-E,Voya Corporate Leaders 100 Fund,
04BFGQ-E,Sa Legg Mason Bw Large Cap Value Portfolio,
04BF93-E,Fidelity Advisor Series Vii - Energy Fund,
04HLZ1-E,Allianz Global Investors Fund - Best Styles Global Equity,
04H1BF-E,Franklin K2 Alternative Strategies Fund,
04BD8G-E,Dws Core Equity Fund,
04BXTT-E,First Eagle Us Value Fund,
04BZ8P-E,Morgan Stanley Instl. Fund-global Franchise Portfolio,
04D067-E,Voya Investors Trust - Large Cap Value Portfolio,
04BBPD-E,Federated Capital Income Fund,
04D2TC-E,Fidelity Inv. Trust - International Growth Fund,
04BB5L-E,Invesco Small Cap Growth Fund,
04BRX3-E,Seb Fund 1 - Global Fund,
04CYP1-E,Bny Mellon Global Stock Fund,
04B8X2-E,Clipper Funds Trust,
04BHQM-E,Janus Henderson Global Select Fund,
04BDZH-E,Usaa Emerging Markets Fund,
04BDK5-E,Wells Fargo Opportunity Fund,
04CGDD-E,Cohen & Steers Reit & Preferred Income Fund,
04BT24-E,Monks (the) Investment Trust Plc,
04CTZV-E,Sentry Small/mid Cap Income Fund,
04D27V-E,Mackenzie Global Dividend Fund,
04CYCF-E,Eaton Vance Tax Managed Diversified Equity Income Fund,
