contact_id,factset_person_id,discrepancy
57d38c6c91aea376a7b72ede,05W40G-E,
57d38cce91aea376a7b90283,0D521Z-E,
,,
,060HZC-E,
57d38c6a91aea376a7b7205c,05QFY5-E,
57d38c8491aea376a7b7aafd,06V4RT-E,
57d38c6a91aea376a7b72227,05QSNZ-E, --- [0] value  --- [0] value  --- [0] value  --- [0] value 
,0BW2Q3-E,
57d38cfc91aea376a7b9e99c,05G7S4-E,
57d38c6391aea376a7b70ad3,05KVB6-E, --- [0] value  --- [0] value  --- [0] value  --- [0] value 
57d38cfe91aea376a7b9fb3f,05G8SH-E,
57d38cb591aea376a7b89226,0BW2P2-E,
57d38c6b91aea376a7b72618,05S53K-E,
57d38ced91aea376a7b99ebe,0G5K46-E,
57d38c6a91aea376a7b72221,05QSM3-E, --- [0] value  --- [0] value 
57d38cfc91aea376a7b9e994,05W3M5-E,
57d38c9c91aea376a7b81da0,07NWQ5-E,
,05L3LN-E,
57d38c5a91aea376a7b6e937,05G705-E,
57d38c7391aea376a7b74fc3,064BVK-E,
57d38c8591aea376a7b7b6d6,06XGXM-E,
57d38c7a91aea376a7b7756d,06HFNX-E,
57d38c6a91aea376a7b7222c,05QSRZ-E,
57d38c6a91aea376a7b72238,05QSSC-E,
57d38cce91aea376a7b90380,0D5F5K-E,
57d38c6491aea376a7b70cb8,05L3BL-E,
,,
59f8f4195890ddad1f4dc6f3,0HKMB0-E,
57d38c6491aea376a7b70cc6,05L3BH-E,
57d38cfb91aea376a7b9e54a,05G7T5-E, --- [0] value  --- [0] value 
,07L4Y1-E,
,,
,,
,0LHJ75-E,
57d38c7a91aea376a7b76f15,06GJ66-E, --- [0] value  --- [0] value  --- [0] value  --- [0] value 
,,
57d38c8391aea376a7b7a269,06SDFL-E, --- [0] value 
,06W8FS-E,
,,
,0B9175-E,
58ffcac89a6563a6a19f7fe9,0GZQX2-E,
57d38c6391aea376a7b7055b,05KFQD-E,
57d38cfb91aea376a7b9e595,06GJ5S-E,
5c41f8b081abb87e7f127c6d,0KJQ2T-E,
57d38c6591aea376a7b71d6a,05PW9C-E, --- [0] value 
,0G3LZ7-E,
,09SD3Y-E,
,0DG6J9-E,
57d38cfc91aea376a7b9eb32,05PW9K-E,
,05M6LX-E,
57d38cfc91aea376a7b9eb1f,05G74R-E, --- [0] value  --- [0] value 
,0LHJ74-E,
57d38c6391aea376a7b70562,05KFQM-E,
