factset_entity_id,name,ManagerStyle,InstitutionFixedStyle,Discrepancy Column,Discrepancy Source
0DHR05-E,Atlas Merchant Capital LLC,,,N/A,N/A
0DHRP7-E,PG Participaties BV,,,N/A,N/A
0DHYKC-E,Calmwater Asset Management LLC,,,N/A,N/A
0DJBPN-E,Bank of Lithuania (Investment Management),,,N/A,N/A
0DJH5D-E,BioMed Ventures,,,N/A,N/A
0DJN8T-E,KBC Group SA/NV (Broker),,,N/A,N/A
0DJNJS-E,London & St. Lawrence Investment Co. Plc (Invt Mgmt),,GARP,N/A,N/A
0FJCQC-E,"Xizang Sinowise Investment Co., Ltd.",,GARP,N/A,N/A
0FJXSJ-E,K-ONE Investment Advisors,,,N/A,N/A
0GBD7F-E,Beijing Prestige Angel Investment Management Co. Ltd.,,,N/A,N/A
0GBJS7-E,Caravel Ventures LLC,,,N/A,N/A
