factset_fund_id,style,turnover_label,Discrepancy Column,Discrepancy Source
04BB45-E,,Low,,
04BB46-E,Aggressive Growth,Very Low,,
04BB48-E,Yield,Low,,
04BB49-E,,Medium,,
04BB4B-E,Growth,Low,,
04BB4C-E,,Very Low,,
04BB4D-E,,Medium,,
04BB4K-E,Yield,Low,,
04BB4N-E,Growth,Very Low,,
04BB4P-E,,High,,
04BB4S-E,Value,Low,,
04BB4T-E,Index,High,,
04BB4W-E,Growth,Very Low,,
04BB4X-E,Growth,Low,,
04BB54-E,Growth,Very Low,,
04BB58-E,,Medium,,
04BB5B-E,,Low,,
04BB5F-E,,High,,
04BB5G-E,Growth,Medium,,
04BB5J-E,,,,
04BB5L-E,Growth,Very Low,,
04BB5M-E,,Very Low,,
04BB5N-E,,Medium,,
04BB5Q-E,,Low,,
04BB5W-E,,Low,,
04BB5Y-E,,Very High,,
04BB5Z-E,,Low,,
04BB69-E,Growth,Very Low,,
04BB6B-E,Growth,Very Low,,
04BB6C-E,,Medium,,
04BB6F-E,Aggressive Growth,Low,,
04BB6H-E,,Very Low,,
04BB6J-E,Growth,Very Low,,
04BB6K-E,Growth,Very Low,,
04BB6M-E,,Medium,,
04BB6N-E,GARP,Very Low,,
04BB6R-E,,Very Low,,
04BB6S-E,Aggressive Growth,High,,
04BB6W-E,Growth,Very Low,,
04BB6X-E,,Medium,,
04BB6Y-E,,Very High,,
04BB70-E,Growth,Very Low,,
04BB73-E,,Very Low,,
04BB78-E,,High,,
04BB7B-E,,Very Low,,
04BB7C-E,,Very Low,,
04BB7F-E,,Low,,
04BB7L-E,,Low,,
04BB7R-E,,Low,,
04BB7W-E,,Medium,,
04BB82-E,,Low,,
04BB85-E,,Very Low,,
04BB86-E,,Very Low,,
04BB87-E,,High,,
04BB89-E,,Very Low,,
04BB8G-E,GARP,Very Low,,
04BB8H-E,,Low,,
04BB8J-E,,Very Low,,
04BB8Q-E,Value,Low,,
04BB8R-E,Value,Low,,
04BB8T-E,Value,Low,,
04BB8W-E,,Low,,
04BB8Z-E,,Very Low,,
04BB92-E,,Low,,
04BB93-E,,High,,
04BB95-E,,Medium,,
04BB99-E,,Low,,
04BB9B-E,,Medium,,
04BB9F-E,Value,Very Low,,
04BB9G-E,Value,Very Low,,
04BB9N-E,,High,,
04BB9R-E,,Low,,
04BB9T-E,,,,
04BBB1-E,,High,,
04BBB2-E,Yield,Low,,
04BBB3-E,,High,,
04BBB6-E,,Very Low,,
04BBB7-E,,Very Low,,
04BBB8-E,Growth,Very Low,,
04BBBC-E,,Low,,
04BBBG-E,,High,,
04BBBM-E,,Medium,,
04BBBP-E,Aggressive Growth,Very Low,,
04BBBS-E,,High,,
04BBBV-E,GARP,Very Low,,
04BBC5-E,,Medium,,
04BBC9-E,,High,,
04BBCD-E,,Very Low,,
04BBCF-E,Yield,Very Low,,
04BBCJ-E,Aggressive Growth,Low,,
04BBCR-E,,High,,
04BBCT-E,Value,Very Low,,
04BBCV-E,,Low,,
04BBCY-E,Yield,Very Low,,
04BBD1-E,Growth,Low,,
04BBD2-E,Growth,Low,,
04BBD3-E,Growth,Very Low,,
04BBDD-E,,Low,,
04BBDG-E,,Very Low,,
04BBDN-E,,High,,
04BBDT-E,Value,Low,,
04BBDV-E,Growth,Very Low,,
04BBDY-E,,Medium,,
04BBDZ-E,,,,
04BBF5-E,,High,,
04BBF6-E,,Low,,
04BBF7-E,Growth,Very Low,,
04BBFC-E,,High,,
04BBFD-E,,Very Low,,
04BBFF-E,,Very Low,,
04BBFJ-E,,Medium,,
04BBFM-E,Yield,Very Low,,
04BBFN-E,,Low,,
04BBFQ-E,,Very Low,,
04BBFX-E,,,,
04BBFZ-E,Aggressive Growth,Low,,
04BBG0-E,,Very High,,
04BBG4-E,Growth,Very Low,,
04BBG6-E,,Very Low,,
04BBG7-E,Index,Very Low,,
04BBGB-E,,Medium,,
04BBGC-E,,Medium,,
04BBGD-E,,Medium,,
04BBGK-E,Growth,Very Low,,
04BBGM-E,,Medium,,
04BBGN-E,Yield,High,,
04BBGP-E,,Low,,
04BBGR-E,,Very Low,,
04BBGS-E,,Low,,
04BBGT-E,Growth,Medium,,
04BBGV-E,,Medium,,
04BBGW-E,,High,,
